"STATION","DIRECTION","DAYTYPE","ARRIVAL"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","22:56:55"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","23:08:55"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","23:20:55"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","23:32:55"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","23:44:55"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","23:56:55"
"DOMENECH","TO_BAYAMON","LOW_SEASON_WORKDAY","00:10:58"
"DOMENECH","TO_BAYAMON","LOW_SEASON_WORKDAY","00:22:58"
"DOMENECH","TO_BAYAMON","LOW_SEASON_WORKDAY","00:34:58"
"DOMENECH","TO_BAYAMON","LOW_SEASON_WORKDAY","00:46:48"
"DOMENECH","TO_BAYAMON","LOW_SEASON_WORKDAY","01:02:48"
"DOMENECH","TO_BAYAMON","LOW_SEASON_WORKDAY","01:18:48"
"DOMENECH","TO_BAYAMON","LOW_SEASON_WORKDAY","01:34:48"
"DOMENECH","TO_BAYAMON","LOW_SEASON_WORKDAY","01:50:48"
"DOMENECH","TO_BAYAMON","LOW_SEASON_WORKDAY","02:06:48"
"DOMENECH","TO_BAYAMON","LOW_SEASON_WORKDAY","02:22:48"
"DOMENECH","TO_BAYAMON","LOW_SEASON_WORKDAY","02:38:48"
"DOMENECH","TO_BAYAMON","LOW_SEASON_WORKDAY","02:54:48"
"DOMENECH","TO_BAYAMON","LOW_SEASON_WORKDAY","03:10:48"
"DOMENECH","TO_BAYAMON","LOW_SEASON_WORKDAY","03:26:48"
"DOMENECH","TO_BAYAMON","LOW_SEASON_WORKDAY","03:42:48"
"DOMENECH","TO_BAYAMON","LOW_SEASON_WORKDAY","03:58:48"
"DOMENECH","TO_BAYAMON","LOW_SEASON_WORKDAY","04:14:48"
"DOMENECH","TO_BAYAMON","LOW_SEASON_WORKDAY","04:30:48"
"DOMENECH","TO_BAYAMON","LOW_SEASON_WORKDAY","04:46:48"
"DOMENECH","TO_BAYAMON","LOW_SEASON_WORKDAY","05:02:48"
"DOMENECH","TO_BAYAMON","LOW_SEASON_WORKDAY","05:18:48"
"DOMENECH","TO_BAYAMON","LOW_SEASON_WORKDAY","05:34:48"
